sequence_name,is_uk,is_cog_uk,central_sample_id,secondary_identifier,sample_date,epi_week,country,adm1,is_surveillance,is_travel_history,travel_history,lineage,uk_lineage,del_lineage,phylotype
England/NORW-EFCE5/2020,Y,Y,NORW-EFCE5,,2020-04-01,14,UK,UK-ENG,N,,,B.29,UK209,,
England/NORW-EE651/2020,Y,Y,NORW-EE651,,2020-04-01,14,UK,UK-ENG,N,,,B.1.1,UK1893,,
England/NORW-EFCD6/2020,Y,Y,NORW-EFCD6,,2020-04-01,14,UK,UK-ENG,N,,,B.1.1,UK1893,,
England/NORW-EFA45/2020,Y,Y,NORW-EFA45,,2020-04-01,14,UK,UK-ENG,N,,,B,UK11929,del_trans_456,
England/NORW-EE86A/2020,Y,Y,NORW-EE86A,,2020-03-16,12,UK,UK-ENG,N,,,B.1,UK5457,,
England/NORW-EFB33/2020,Y,Y,NORW-EFB33,,2020-04-01,14,UK,UK-ENG,N,,,B.3,UK456,,
England/NORW-EF08F/2020,Y,Y,NORW-EF08F,,2020-05-14,20,UK,UK-ENG,N,,,B.1.1.1,UK3087,,
England/NORW-EF131/2020,Y,Y,NORW-EF131,,2020-05-13,20,UK,UK-ENG,N,,,B.1.1.3,UK9080,,
England/NORW-EF0AD/2020,Y,Y,NORW-EF0AD,,2020-03-06,10,UK,UK-ENG,N,,,B.1.105,UK2231,,
England/NORW-EEF56/2020,Y,Y,NORW-EEF56,,2020-05-08,19,UK,UK-ENG,N,,,B.1.1,UK9217,,
England/NORW-EF007/2020,Y,Y,NORW-EF007,,2020-05-13,20,UK,UK-ENG,N,,,B.1.1.3,UK9080,del_trans_1345,UK9080_1.2
England/NORW-EE4DF/2020,Y,Y,NORW-EE4DF,,2020-06-25,26,UK,UK-ENG,Y,,,B.1.1.147,UK9125,,
England/NORW-EE69D/2020,Y,Y,NORW-EE69D,,2020-04-24,17,UK,UK-ENG,N,,,B.1.1,UK1427,del_trans_543631,
England/NORW-EE24E/2020,Y,Y,NORW-EE24E,,2020-04-24,17,UK,UK-ENG,N,,,B.1,UK4371,,
England/NORW-EE299/2020,Y,Y,NORW-EE299,,2020-04-24,17,UK,UK-ENG,N,,,B.1.1,UK2706,,
England/NORW-EE41B/2020,Y,Y,NORW-EE41B,,2020-04-24,17,UK,UK-ENG,N,,,B.1.225,UK4371,,
England/NORW-EE2B7/2020,Y,Y,NORW-EE2B7,,2020-04-23,17,UK,UK-ENG,N,,,B.1.201,UK3230,,
England/NORW-ECDC7/2020,Y,Y,NORW-ECDC7,,2020-06-17,25,UK,UK-ENG,Y,,,B.1,UK199,,
England/NORW-ECB63/2020,Y,Y,NORW-ECB63,,2020-06-18,25,UK,UK-ENG,Y,,,B.1,UK199,,
England/NORW-ECDB8/2020,Y,Y,NORW-ECDB8,,2020-06-18,25,UK,UK-ENG,Y,,,B.3,UK456,,
England/NORW-EE2D5/2020,Y,Y,NORW-EE2D5,,2020-03-24,13,UK,UK-ENG,N,,,B.1.93,UK533,,
England/NORW-EDA1A/2020,Y,Y,NORW-EDA1A,,2020-03-22,13,UK,UK-ENG,N,,,B,UK255,,
England/NORW-ECFB2/2020,Y,Y,NORW-ECFB2,,2020-06-18,25,UK,UK-ENG,Y,,,B.1,UK199,,
England/NORW-ECD9A/2020,Y,Y,NORW-ECD9A,,2020-06-18,25,UK,UK-ENG,Y,,,B.1,UK199,,
England/NORW-EE2C6/2020,Y,Y,NORW-EE2C6,,2020-03-24,13,UK,UK-ENG,N,,,B,UK255,,
England/NORW-ED92C/2020,Y,Y,NORW-ED92C,,2020-03-22,13,UK,UK-ENG,N,,,B.40,UK11963,,
England/NORW-ECC24/2020,Y,Y,NORW-ECC24,,2020-06-18,25,UK,UK-ENG,Y,,,B.1,UK199,,
England/NORW-EE3A5/2020,Y,Y,NORW-EE3A5,,2020-03-24,13,UK,UK-ENG,N,,,B.1,UK2913,,
England/NORW-EE466/2020,Y,Y,NORW-EE466,,2020-03-24,13,UK,UK-ENG,N,,,B.40,UK282,del_trans_282,UK282_1.20
England/NORW-ECE3D/2020,Y,Y,NORW-ECE3D,,2020-06-18,25,UK,UK-ENG,Y,,,B.1,UK199,,
England/NORW-EE8D3/2020,Y,Y,NORW-EE8D3,,2020-06-04,23,UK,UK-ENG,Y,,,B.1.1,UK1893,,
England/NORW-ED9A4/2020,Y,Y,NORW-ED9A4,,2020-03-23,13,UK,UK-ENG,N,,,B,UK11929,,
England/NORW-ED8C5/2020,Y,Y,NORW-ED8C5,,2020-03-21,12,UK,UK-ENG,N,,,B.1,UK2913,,
England/NORW-EE518/2020,Y,Y,NORW-EE518,,2020-03-25,13,UK,UK-ENG,N,,,B.23,UK4,del_trans_3,UK4_1.3.2.4
England/NORW-EDA56/2020,Y,Y,NORW-EDA56,,2020-03-22,13,UK,UK-ENG,N,,,B.3,UK462,del_trans_47,UK462_1.3.2
England/NORW-EE527/2020,Y,Y,NORW-EE527,,2020-03-25,13,UK,UK-ENG,N,,,B,UK255,,
England/NORW-ECAB1/2020,Y,Y,NORW-ECAB1,,2020-06-17,25,UK,UK-ENG,Y,,,B.1,UK199,,
England/NORW-EDAED/2020,Y,Y,NORW-EDAED,,2020-03-24,13,UK,UK-ENG,N,,,B.1.1,UK2330,,
England/NORW-EE35A/2020,Y,Y,NORW-EE35A,,2020-03-24,13,UK,UK-ENG,N,,,B.23,UK4,del_trans_3,UK4_1.3
England/NORW-ED995/2020,Y,Y,NORW-ED995,,2020-03-23,13,UK,UK-ENG,N,,,B.1.1,UK8626,del_trans_1088,
England/NORW-ED7F5/2020,Y,Y,NORW-ED7F5,,2020-03-23,13,UK,UK-ENG,N,,,B.28,UK253,,
England/NORW-EE34B/2020,Y,Y,NORW-EE34B,,2020-03-24,13,UK,UK-ENG,N,,,B.1.1,UK1465,,
England/NORW-ED9C2/2020,Y,Y,NORW-ED9C2,,2020-03-23,13,UK,UK-ENG,N,,,B,UK255,,
England/NORW-EDA29/2020,Y,Y,NORW-EDA29,,2020-03-20,12,UK,UK-ENG,N,,,B.40,UK11963,,
England/NORW-EE2A8/2020,Y,Y,NORW-EE2A8,,2020-03-24,13,UK,UK-ENG,N,,,B,UK255,,
England/NORW-ED977/2020,Y,Y,NORW-ED977,,2020-03-20,12,UK,UK-ENG,N,,,B,UK55,,
England/NORW-EE536/2020,Y,Y,NORW-EE536,,2020-03-24,13,UK,UK-ENG,N,,,B.1.1,UK4091,del_trans_1163,UK4091_1
England/NORW-EDAB0/2020,Y,Y,NORW-EDAB0,,2020-03-23,13,UK,UK-ENG,N,,,B,UK11929,,
England/NORW-ECF1C/2020,Y,Y,NORW-ECF1C,,2020-06-18,25,UK,UK-ENG,Y,,,B.1,UK2708,,
England/NORW-ED82F/2020,Y,Y,NORW-ED82F,,2020-03-23,13,UK,UK-ENG,N,,,B.39,UK293,,
England/NORW-ED87A/2020,Y,Y,NORW-ED87A,,2020-03-21,12,UK,UK-ENG,N,,,B,UK255,,
England/NORW-EE493/2020,Y,Y,NORW-EE493,,2020-03-24,13,UK,UK-ENG,N,,,B.40,UK11963,,
England/NORW-EE90D/2020,Y,Y,NORW-EE90D,,2020-06-05,23,UK,UK-ENG,N,,,B.1.1,UK1893,,
England/NORW-EDA47/2020,Y,Y,NORW-EDA47,,2020-03-23,13,UK,UK-ENG,N,,,B.1,UK199,,
England/NORW-ECEF1/2020,Y,Y,NORW-ECEF1,,2020-06-18,25,UK,UK-ENG,Y,,,B.1,UK199,,
England/NORW-EE3E1/2020,Y,Y,NORW-EE3E1,,2020-03-23,13,UK,UK-ENG,N,,,B.1.391,UK2464,,
England/NORW-ECC33/2020,Y,Y,NORW-ECC33,,2020-06-18,25,UK,UK-ENG,Y,,,B.1,UK199,,
England/NORW-EE3F0/2020,Y,Y,NORW-EE3F0,,2020-03-23,13,UK,UK-ENG,N,,,B.23,UK4,,
England/NORW-ECCF7/2020,Y,Y,NORW-ECCF7,,2020-06-18,25,UK,UK-ENG,N,,,B.1,UK199,,
England/NORW-EE8F1/2020,Y,Y,NORW-EE8F1,,2020-06-04,23,UK,UK-ENG,Y,,,B.1.1,UK1893,,
England/NORW-ED83E/2020,Y,Y,NORW-ED83E,,2020-03-24,13,UK,UK-ENG,N,,,B,UK118,del_trans_197,UK118_1
England/NORW-ECE5B/2020,Y,Y,NORW-ECE5B,,2020-06-18,25,UK,UK-ENG,Y,,,B.1,UK199,,
England/NORW-ED84D/2020,Y,Y,NORW-ED84D,,2020-03-23,13,UK,UK-ENG,N,,,B.1,UK2862,del_trans_740105,
England/NORW-EDA38/2020,Y,Y,NORW-EDA38,,2020-03-23,13,UK,UK-ENG,N,,,B,UK11929,,
England/NORW-ECC15/2020,Y,Y,NORW-ECC15,,2020-06-17,25,UK,UK-ENG,Y,,,B.1,UK199,,
England/NORW-ECA93/2020,Y,Y,NORW-ECA93,,2020-06-18,25,UK,UK-ENG,N,,,B.1,UK199,,
England/NORW-ED801/2020,Y,Y,NORW-ED801,,2020-03-22,13,UK,UK-ENG,N,,,B.23,UK4,,
England/NORW-ED86B/2020,Y,Y,NORW-ED86B,,2020-03-23,13,UK,UK-ENG,N,,,B.1,UK10554,,
England/NORW-ED91D/2020,Y,Y,NORW-ED91D,,2020-03-23,13,UK,UK-ENG,N,,,B,UK11929,,
England/NORW-EE3D2/2020,Y,Y,NORW-EE3D2,,2020-03-24,13,UK,UK-ENG,N,,,B,UK255,,
England/NORW-ED1AC/2020,Y,Y,NORW-ED1AC,,2020-06-18,25,UK,UK-ENG,N,,,B.1.1.147,UK9125,,
England/NORW-ECBEB/2020,Y,Y,NORW-ECBEB,,2020-06-03,23,UK,UK-ENG,Y,,,B.1.1,UK9544,del_trans_544615,UK9544_1.1
England/NORW-ECE2E/2020,Y,Y,NORW-ECE2E,,2020-06-01,23,UK,UK-ENG,Y,,,B.1.225,UK4371,,
England/NORW-ECBCD/2020,Y,Y,NORW-ECBCD,,2020-05-29,22,UK,UK-ENG,Y,,,B.1.1,UK5239,,
England/NORW-ECD21/2020,Y,Y,NORW-ECD21,,2020-05-29,22,UK,UK-ENG,Y,,,B.1,UK4371,,
England/NORW-ECD6D/2020,Y,Y,NORW-ECD6D,,2020-05-29,22,UK,UK-ENG,Y,,,B.1.1,UK1665,,
England/NORW-ECF67/2020,Y,Y,NORW-ECF67,,2020-06-01,23,UK,UK-ENG,Y,,,B.1,UK4371,del_trans_737440,UK4371_1.1
England/NORW-ECCAC/2020,Y,Y,NORW-ECCAC,,2020-06-02,23,UK,UK-ENG,N,,,B.1,UK5239,,
England/NORW-ECA66/2020,Y,Y,NORW-ECA66,,2020-06-04,23,UK,UK-ENG,Y,,,B.1,UK2989,,
England/NORW-ED78C/2020,Y,Y,NORW-ED78C,,2020-06-08,24,UK,UK-ENG,N,,,B.1.1.1,UK8681,,
England/NORW-ECF85/2020,Y,Y,NORW-ECF85,,2020-05-27,22,UK,UK-ENG,Y,,,B.1.1,UK1173,,
England/NORW-ECB27/2020,Y,Y,NORW-ECB27,,2020-06-04,23,UK,UK-ENG,Y,,,B.1,UK2989,,
England/NORW-ECAFD/2020,Y,Y,NORW-ECAFD,,2020-06-01,23,UK,UK-ENG,Y,,,B.1.225,UK4371,,
England/NORW-ECB18/2020,Y,Y,NORW-ECB18,,2020-06-04,23,UK,UK-ENG,N,,,B.1,UK4371,,
England/NORW-ECEB5/2020,Y,Y,NORW-ECEB5,,2020-06-01,23,UK,UK-ENG,Y,,,B.1,UK2913,del_trans_738350,UK2913_1.3
England/NORW-ECFA3/2020,Y,Y,NORW-ECFA3,,2020-06-01,23,UK,UK-ENG,Y,,,B.1,UK2989,,
England/NORW-ED69E/2020,Y,Y,NORW-ED69E,,2020-06-05,23,UK,UK-ENG,Y,,,B.1.1.1,UK8681,,
England/NORW-ED704/2020,Y,Y,NORW-ED704,,2020-06-05,23,UK,UK-ENG,Y,,,B.1.1.1,UK8681,,
England/NORW-EB0DE/2020,Y,Y,NORW-EB0DE,,2020-05-02,18,UK,UK-ENG,Y,,,B.1.1,UK1709,,
England/NORW-ED6CB/2020,Y,Y,NORW-ED6CB,,2020-05-21,21,UK,UK-ENG,Y,,,B.1.1,UK1665,,
England/NORW-EB85E/2020,Y,Y,NORW-EB85E,,2020-05-05,19,UK,UK-ENG,Y,,,B.1,UK199,,
England/NORW-ED18E/2020,Y,Y,NORW-ED18E,,2020-06-01,23,UK,UK-ENG,Y,,,B.1,UK2989,,
