sequence_name,is_uk,is_cog_uk,central_sample_id,secondary_identifier,sample_date,epi_week,country,adm1,is_surveillance,is_travel_history,travel_history,lineage,uk_lineage,del_lineage,phylotype
_England_NORW-EFD2E_2020_,Y,Y,NORW-EFD2E,,2020-04-01,14,UK,UK-ENG,N,,,B,UK255,,
_England_NORW-EFA27_2020_,Y,Y,NORW-EFA27,,2020-04-01,14,UK,UK-ENG,N,,,B.1.1,UK2330,,
_England_NORW-EE6D9_2020_,Y,Y,NORW-EE6D9,,2020-04-08,15,UK,UK-ENG,N,,,B.1.1,UK1427,,
_England_NORW-EFADC_2020_,Y,Y,NORW-EFADC,,2020-04-01,14,UK,UK-ENG,N,,,B.1.225,UK4371,,
_England_NORW-EFA90_2020_,Y,Y,NORW-EFA90,,2020-04-01,14,UK,UK-ENG,N,,,B.1.1,UK5520,del_trans_514681,
_England_NORW-EFCE5_2020_,Y,Y,NORW-EFCE5,,2020-04-01,14,UK,UK-ENG,N,,,B.29,UK209,,
_England_NORW-EE651_2020_,Y,Y,NORW-EE651,,2020-04-01,14,UK,UK-ENG,N,,,B.1.1,UK1893,,
_England_NORW-EFCD6_2020_,Y,Y,NORW-EFCD6,,2020-04-01,14,UK,UK-ENG,N,,,B.1.1,UK1893,,
_England_NORW-EE703_2020_,Y,Y,NORW-EE703,,2020-04-01,14,UK,UK-ENG,N,,,B.1,UK2913,,
_England_NORW-EFB06_2020_,Y,Y,NORW-EFB06,,2020-04-01,14,UK,UK-ENG,N,,,B,UK263,,
_England_NORW-EFB60_2020_,Y,Y,NORW-EFB60,,2020-04-07,15,UK,UK-ENG,N,,,B.1.1,UK9544,,
_England_NORW-EFA63_2020_,Y,Y,NORW-EFA63,,2020-04-02,14,UK,UK-ENG,N,,,B.23,UK4,,
_England_NORW-EFB51_2020_,Y,Y,NORW-EFB51,,2020-04-01,14,UK,UK-ENG,N,,,B.1.391,UK2464,,
_England_NORW-EFCB8_2020_,Y,Y,NORW-EFCB8,,2020-04-01,14,UK,UK-ENG,N,,,B.23,UK4,,
_England_NORW-EFA45_2020_,Y,Y,NORW-EFA45,,2020-04-01,14,UK,UK-ENG,N,,,B,UK11929,del_trans_456,
_England_NORW-EFB15_2020_,Y,Y,NORW-EFB15,,2020-04-01,14,UK,UK-ENG,N,,,B,UK55,,
_England_NORW-EFCC7_2020_,Y,Y,NORW-EFCC7,,2020-04-01,14,UK,UK-ENG,N,,,B.1.201,UK3230,,
_England_NORW-EFD3D_2020_,Y,Y,NORW-EFD3D,,2020-04-01,14,UK,UK-ENG,N,,,B.1.1,UK5356,del_trans_514115,UK5356_1
_England_NORW-EFC03_2020_,Y,Y,NORW-EFC03,,2020-04-01,14,UK,UK-ENG,N,,,B.1,UK4717,,
_England_NORW-EFACD_2020_,Y,Y,NORW-EFACD,,2020-04-01,14,UK,UK-ENG,N,,,B.1.1,UK3827,,
_England_NORW-EE86A_2020_,Y,Y,NORW-EE86A,,2020-03-16,12,UK,UK-ENG,N,,,B.1,UK5457,,
_England_NORW-EFC7C_2020_,Y,Y,NORW-EFC7C,,2020-04-02,14,UK,UK-ENG,N,,,B.1.1,UK1427,,
_England_NORW-EFB33_2020_,Y,Y,NORW-EFB33,,2020-04-01,14,UK,UK-ENG,N,,,B.3,UK456,,
_England_NORW-EF09E_2020_,Y,Y,NORW-EF09E,,2020-05-13,20,UK,UK-ENG,N,,,B.1,UK9125,,
_England_NORW-EEFFC_2020_,Y,Y,NORW-EEFFC,,2020-05-15,20,UK,UK-ENG,N,,,B.1.1,UK1142,,
_England_NORW-EF08F_2020_,Y,Y,NORW-EF08F,,2020-05-14,20,UK,UK-ENG,N,,,B.1.1.1,UK3087,,
_England_NORW-EEEE0_2020_,Y,Y,NORW-EEEE0,,2020-05-14,20,UK,UK-ENG,N,,,B.1,UK6649,del_trans_707320,UK6649_1.1.1
_England_NORW-EEFB0_2020_,Y,Y,NORW-EEFB0,,2020-05-16,20,UK,UK-ENG,N,,,B.1.1,UK9663,,
_England_NORW-EF131_2020_,Y,Y,NORW-EF131,,2020-05-13,20,UK,UK-ENG,N,,,B.1.1.3,UK9080,,
_England_NORW-EF0AD_2020_,Y,Y,NORW-EF0AD,,2020-03-06,10,UK,UK-ENG,N,,,B.1.105,UK2231,,
_England_NORW-EEF56_2020_,Y,Y,NORW-EEF56,,2020-05-08,19,UK,UK-ENG,N,,,B.1.1,UK9217,,
_England_NORW-EF034_2020_,Y,Y,NORW-EF034,,2020-05-13,20,UK,UK-ENG,N,,,B.1,UK199,,
_England_NORW-EF007_2020_,Y,Y,NORW-EF007,,2020-05-13,20,UK,UK-ENG,N,,,B.1.1.3,UK9080,del_trans_1345,UK9080_1.2
_England_NORW-EE27B_2020_,Y,Y,NORW-EE27B,,2020-04-24,17,UK,UK-ENG,N,,,B.1.201,UK3230,,
_England_NORW-EE4DF_2020_,Y,Y,NORW-EE4DF,,2020-06-25,26,UK,UK-ENG,Y,,,B.1.1.147,UK9125,,
_England_NORW-EE40C_2020_,Y,Y,NORW-EE40C,,2020-04-24,17,UK,UK-ENG,N,,,B.1.1,UK1173,,
_England_NORW-EE2E4_2020_,Y,Y,NORW-EE2E4,,2020-04-24,17,UK,UK-ENG,N,,,B.1.225,UK4371,,
_England_NORW-EE69D_2020_,Y,Y,NORW-EE69D,,2020-04-24,17,UK,UK-ENG,N,,,B.1.1,UK1427,del_trans_514119,
_England_NORW-EE4EE_2020_,Y,Y,NORW-EE4EE,,2020-04-23,17,UK,UK-ENG,N,,,B.1.1,UK1893,,
_England_NORW-EE439_2020_,Y,Y,NORW-EE439,,2020-04-24,17,UK,UK-ENG,N,,,B.1.1,UK1173,,
_England_NORW-ED7C8_2020_,Y,Y,NORW-ED7C8,,2020-04-24,17,UK,UK-ENG,N,,,B,UK255,,
_England_NORW-EE3C3_2020_,Y,Y,NORW-EE3C3,,2020-04-24,17,UK,UK-ENG,N,,,B.1,UK2190,del_trans_708340,UK2190_1
_England_NORW-EE24E_2020_,Y,Y,NORW-EE24E,,2020-04-24,17,UK,UK-ENG,N,,,B.1,UK4371,,
_England_NORW-EE220_2020_,Y,Y,NORW-EE220,,2020-04-24,17,UK,UK-ENG,N,,,B.1.1,UK2330,,
_England_NORW-EE554_2020_,Y,Y,NORW-EE554,,2020-04-24,17,UK,UK-ENG,N,,,B.1.201,UK3230,,
_England_NORW-EE30F_2020_,Y,Y,NORW-EE30F,,2020-04-24,17,UK,UK-ENG,N,,,B.1.1,UK9544,del_trans_515105,UK9544_1.1
_England_NORW-EE299_2020_,Y,Y,NORW-EE299,,2020-04-24,17,UK,UK-ENG,N,,,B.1.1,UK2706,,
_England_NORW-EE4A2_2020_,Y,Y,NORW-EE4A2,,2020-04-24,17,UK,UK-ENG,N,,,B.1.1,UK8896,,
_England_NORW-EE369_2020_,Y,Y,NORW-EE369,,2020-04-24,17,UK,UK-ENG,N,,,B.1.225,UK4371,del_trans_707373,UK4371_1.2
_England_NORW-EE26C_2020_,Y,Y,NORW-EE26C,,2020-04-23,17,UK,UK-ENG,N,,,B.1.1,UK2330,,
_England_NORW-EE41B_2020_,Y,Y,NORW-EE41B,,2020-04-24,17,UK,UK-ENG,N,,,B.1.225,UK4371,,
_England_NORW-EE4FD_2020_,Y,Y,NORW-EE4FD,,2020-04-24,17,UK,UK-ENG,N,,,B.1.1,UK1276,del_trans_514880,UK1276_1
_England_NORW-EE28A_2020_,Y,Y,NORW-EE28A,,2020-04-24,17,UK,UK-ENG,N,,,B.1.1,UK1173,,
_England_NORW-EE2B7_2020_,Y,Y,NORW-EE2B7,,2020-04-23,17,UK,UK-ENG,N,,,B.1.201,UK3230,,
_England_NORW-EE484_2020_,Y,Y,NORW-EE484,,2020-04-23,17,UK,UK-ENG,N,,,B.1,UK4371,del_trans_707373,UK4371_1.1
_England_NORW-EE42A_2020_,Y,Y,NORW-EE42A,,2020-04-24,17,UK,UK-ENG,N,,,B.1.1,UK2706,,
_England_NORW-EE800_2020_,Y,Y,NORW-EE800,,2020-04-24,17,UK,UK-ENG,N,,,B.1.201,UK3230,,
_England_NORW-EE23F_2020_,Y,Y,NORW-EE23F,,2020-04-24,17,UK,UK-ENG,N,,,B.1.1,UK1173,,
_England_NORW-ECDC7_2020_,Y,Y,NORW-ECDC7,,2020-06-17,25,UK,UK-ENG,Y,,,B.1,UK199,,
_England_NORW-ECB63_2020_,Y,Y,NORW-ECB63,,2020-06-18,25,UK,UK-ENG,Y,,,B.1,UK199,,
_England_NORW-ECDB8_2020_,Y,Y,NORW-ECDB8,,2020-06-18,25,UK,UK-ENG,Y,,,B.3,UK456,,
_England_NORW-EE2D5_2020_,Y,Y,NORW-EE2D5,,2020-03-24,13,UK,UK-ENG,N,,,B.1.93,UK533,,
_England_NORW-EDA1A_2020_,Y,Y,NORW-EDA1A,,2020-03-22,13,UK,UK-ENG,N,,,B,UK255,,
_England_NORW-ECFB2_2020_,Y,Y,NORW-ECFB2,,2020-06-18,25,UK,UK-ENG,Y,,,B.1,UK199,,
_England_NORW-EE9B2_2020_,Y,Y,NORW-EE9B2,,2020-05-12,20,UK,UK-ENG,N,,,B.1,UK4371,,
_England_NORW-EE8A6_2020_,Y,Y,NORW-EE8A6,,2020-05-31,23,UK,UK-ENG,Y,,,B.1,UK199,,
_England_NORW-ECD9A_2020_,Y,Y,NORW-ECD9A,,2020-06-18,25,UK,UK-ENG,Y,,,B.1,UK199,,
_England_NORW-EE2C6_2020_,Y,Y,NORW-EE2C6,,2020-03-24,13,UK,UK-ENG,N,,,B,UK255,,
_England_NORW-ED92C_2020_,Y,Y,NORW-ED92C,,2020-03-22,13,UK,UK-ENG,N,,,B.40,UK11963,,
_England_NORW-ECC24_2020_,Y,Y,NORW-ECC24,,2020-06-18,25,UK,UK-ENG,Y,,,B.1,UK199,,
_England_NORW-EE3A5_2020_,Y,Y,NORW-EE3A5,,2020-03-24,13,UK,UK-ENG,N,,,B.1,UK2913,,
_England_NORW-EE466_2020_,Y,Y,NORW-EE466,,2020-03-24,13,UK,UK-ENG,N,,,B.40,UK282,del_trans_283,UK282_1.20
_England_NORW-ECE3D_2020_,Y,Y,NORW-ECE3D,,2020-06-18,25,UK,UK-ENG,Y,,,B.1,UK199,,
_England_NORW-EE8D3_2020_,Y,Y,NORW-EE8D3,,2020-06-04,23,UK,UK-ENG,Y,,,B.1.1,UK1893,,
_England_NORW-ED9A4_2020_,Y,Y,NORW-ED9A4,,2020-03-23,13,UK,UK-ENG,N,,,B,UK11929,,
_England_NORW-ED8C5_2020_,Y,Y,NORW-ED8C5,,2020-03-21,12,UK,UK-ENG,N,,,B.1,UK2913,,
_England_NORW-EE518_2020_,Y,Y,NORW-EE518,,2020-03-25,13,UK,UK-ENG,N,,,B.23,UK4,del_trans_3,UK4_1.3.2.4
_England_NORW-EDA56_2020_,Y,Y,NORW-EDA56,,2020-03-22,13,UK,UK-ENG,N,,,B.3,UK462,del_trans_48,UK462_1.3.2
_England_NORW-EE527_2020_,Y,Y,NORW-EE527,,2020-03-25,13,UK,UK-ENG,N,,,B,UK255,,
_England_NORW-ECAB1_2020_,Y,Y,NORW-ECAB1,,2020-06-17,25,UK,UK-ENG,Y,,,B.1,UK199,,
_England_NORW-EDAED_2020_,Y,Y,NORW-EDAED,,2020-03-24,13,UK,UK-ENG,N,,,B.1.1,UK2330,,
_England_NORW-EE35A_2020_,Y,Y,NORW-EE35A,,2020-03-24,13,UK,UK-ENG,N,,,B.23,UK4,del_trans_3,UK4_1.3
_England_NORW-ED995_2020_,Y,Y,NORW-ED995,,2020-03-23,13,UK,UK-ENG,N,,,B.1.1,UK8626,del_trans_1088,
_England_NORW-ED7F5_2020_,Y,Y,NORW-ED7F5,,2020-03-23,13,UK,UK-ENG,N,,,B.28,UK253,,
_England_NORW-EE34B_2020_,Y,Y,NORW-EE34B,,2020-03-24,13,UK,UK-ENG,N,,,B.1.1,UK1465,,
_England_NORW-ED9C2_2020_,Y,Y,NORW-ED9C2,,2020-03-23,13,UK,UK-ENG,N,,,B,UK255,,
_England_NORW-EDA29_2020_,Y,Y,NORW-EDA29,,2020-03-20,12,UK,UK-ENG,N,,,B.40,UK11963,,
_England_NORW-EE2A8_2020_,Y,Y,NORW-EE2A8,,2020-03-24,13,UK,UK-ENG,N,,,B,UK255,,
_England_NORW-ED977_2020_,Y,Y,NORW-ED977,,2020-03-20,12,UK,UK-ENG,N,,,B,UK55,,
_England_NORW-EE536_2020_,Y,Y,NORW-EE536,,2020-03-24,13,UK,UK-ENG,N,,,B.1.1,UK4091,del_trans_1163,UK4091_1
_England_NORW-EDAB0_2020_,Y,Y,NORW-EDAB0,,2020-03-23,13,UK,UK-ENG,N,,,B,UK11929,,
_England_NORW-ECF1C_2020_,Y,Y,NORW-ECF1C,,2020-06-18,25,UK,UK-ENG,Y,,,B.1,UK2708,,
_England_NORW-ED82F_2020_,Y,Y,NORW-ED82F,,2020-03-23,13,UK,UK-ENG,N,,,B.39,UK293,,
_England_NORW-ED87A_2020_,Y,Y,NORW-ED87A,,2020-03-21,12,UK,UK-ENG,N,,,B,UK255,,
_England_NORW-EE493_2020_,Y,Y,NORW-EE493,,2020-03-24,13,UK,UK-ENG,N,,,B.40,UK11963,,
