#node	date	numeric date
NODE_0000001	2020-02-29	2020.162954
_England_NORW-EF0AD_2020_	2020-03-06	2020.178962
NODE_0000143	2020-02-29	2020.162954
NODE_0000002	2020-04-28	2020.324634
NODE_0000003	2020-04-29	2020.327849
_England_NORW-EA770_2020_	2020-05-18	2020.378415
_England_NORW-EB3D5_2020_	2020-05-01	2020.331967
NODE_0000004	2020-04-28	2020.324634
_England_NORW-EB4B4_2020_	2020-05-01	2020.331967
_England_NORW-E77A0_2020_	2020-05-05	2020.342896
NODE_0000141	2020-03-05	2020.175711
NODE_0000142	2020-04-23	2020.309008
_England_NORW-EAE02_2020_	2020-04-30	2020.329235
_England_NORW-EB4F0_2020_	2020-05-01	2020.331967
NODE_0000105	2020-03-08	2020.185588
_England_NORW-E994E_2020_	2020-04-23	2020.310109
_England_NORW-E81A1_2020_	2020-04-08	2020.269126
NODE_0000115	2020-03-20	2020.217101
_England_NORW-EE2D5_2020_	2020-03-24	2020.228142
NODE_0000116	2020-04-15	2020.287180
_England_NORW-EAFF0_2020_	2020-04-30	2020.329235
_England_NORW-EB997_2020_	2020-05-07	2020.348361
_England_NORW-E8CCE_2020_	2020-04-15	2020.288251
NODE_0000011	2020-04-20	2020.301969
NODE_0000014	2020-04-22	2020.306585
NODE_0000015	2020-05-04	2020.339536
NODE_0000016	2020-05-04	2020.339536
_England_NORW-EA41F_2020_	2020-05-12	2020.362022
_England_NORW-EA38B_2020_	2020-05-12	2020.362022
NODE_0000017	2020-05-04	2020.339536
_England_NORW-EA28E_2020_	2020-05-12	2020.362022
_England_NORW-EA2AC_2020_	2020-05-12	2020.362022
NODE_0000018	2020-04-22	2020.308316
NODE_0000019	2020-04-23	2020.310109
_England_NORW-E987E_2020_	2020-04-23	2020.310109
_England_NORW-EBA3A_2020_	2020-05-06	2020.345628
NODE_0000020	2020-04-29	2020.325932
_England_NORW-EA734_2020_	2020-05-21	2020.386612
_England_NORW-EA46A_2020_	2020-05-12	2020.362022
NODE_0000021	2020-04-21	2020.303879
NODE_0000022	2020-04-21	2020.305659
NODE_0000023	2020-05-04	2020.339063
_England_NORW-EC714_2020_	2020-05-11	2020.359290
_England_NORW-EC50B_2020_	2020-05-11	2020.359290
NODE_0000024	2020-04-22	2020.307377
_England_NORW-E9665_2020_	2020-04-22	2020.307377
_England_NORW-E96CF_2020_	2020-04-22	2020.307377
NODE_0000026	2020-04-28	2020.325057
NODE_0000027	2020-04-29	2020.325972
_England_NORW-EBD04_2020_	2020-05-08	2020.351093
_England_NORW-EC69F_2020_	2020-05-10	2020.356557
