name,date
NC_045512.2,2019-12-26
England_NORW-22D223_2021,2021-02-10
England_NORW-22D1CC_2021,2021-02-13
England_NORW-22D162_2021,2021-02-13
England_NORW-22B37D_2021,2021-01-09
England_NORW-22D2C9_2021,2021-02-10
England_NORW-22D1BD_2021,2021-02-14
England_NORW-22D36C_2021,2021-02-10
England_NORW-22463F_2021,2021-02-15
England_NORW-22465D_2021,2021-02-15
England_NORW-22D205_2021,2021-02-12
England_NORW-22B4C5_2021,2021-01-08
England_NORW-22D27E_2021,2021-02-09
England_NORW-22D180_2021,2021-02-14
England_NORW-22466C_2021,2021-02-15
England_NORW-22464E_2021,2021-02-21
England_NORW-22B085_2021,2021-01-09
England_NORW-22D302_2021,2021-02-12
England_NORW-22D1AE_2021,2021-02-12
England_NORW-22D34E_2021,2021-02-13
England_NORW-22B00D_2021,2021-01-08
England_NORW-22B304_2021,2021-01-08
England_NORW-22D214_2021,2021-02-14
England_NORW-22D250_2021,2021-02-10
England_NORW-22468A_2021,2021-02-15
England_NORW-22D171_2021,2021-02-14
England_NORW-22D26F_2021,2021-02-09
England_NORW-22D0DE_2021,2021-02-12
England_NORW-22D3D5_2021,2021-02-14
England_NORW-22D2F6_2021,2021-02-09
England_NORW-22B2F8_2021,2021-01-08
England_NORW-22D2BA_2021,2021-02-13
England_NORW-22AF4D_2021,2021-01-08
England_NORW-22D19F_2021,2021-02-13
England_NORW-22D108_2021,2021-02-09
England_NORW-22D38A_2021,2021-02-10
England_NORW-22D2E7_2021,2021-02-12
England_NORW-22D1F9_2021,2021-02-10
England_NORW-22D3B7_2021,2021-02-12
England_NORW-22D399_2021,2021-02-10
England_NORW-22B3E6_2021,2021-01-28
England_NORW-22B8AB_2021,2021-01-28
England_NORW-22B38C_2021,2021-01-27
England_NORW-22B54A_2021,2021-01-27
England_NORW-22BD51_2021,2021-01-26
England_NORW-22CC17_2021,2021-02-02
England_NORW-21FC08_2021,2021-02-22
England_NORW-22BBA2_2021,2021-01-16
England_NORW-22BA0F_2021,2021-01-29
England_NORW-22B225_2021,2021-01-28
England_NORW-22D539_2021,2021-02-21
England_NORW-22BB39_2021,2021-01-28
England_NORW-22B216_2021,2021-01-28
England_NORW-22BB0C_2021,2021-01-28
England_NORW-22C1CD_2021,2021-02-02
England_NORW-22BE30_2021,2021-01-28
England_NORW-22BDF7_2021,2021-01-26
England_NORW-22BB93_2021,2021-01-28
England_NORW-22BE6D_2021,2021-01-23
England_NORW-22B2CB_2021,2021-01-23
England_NORW-22BCDC_2021,2021-01-09
England_NORW-22CE5D_2021,2021-02-04
England_NORW-22BFE2_2021,2021-02-04
