#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2019.985	5.943e+00	2.419e+00	1.460e+01
2020.046	6.450e+00	3.180e+00	1.308e+01
2020.107	6.718e+00	3.313e+00	1.363e+01
2020.168	7.062e+00	3.482e+00	1.432e+01
2020.229	7.486e+00	3.691e+00	1.518e+01
2020.290	7.970e+00	3.930e+00	1.616e+01
2020.351	8.506e+00	4.194e+00	1.725e+01
2020.412	9.119e+00	4.496e+00	1.849e+01
2020.473	9.781e+00	4.823e+00	1.984e+01
2020.534	1.034e+01	5.099e+00	2.097e+01
2020.595	1.069e+01	5.273e+00	2.169e+01
2020.656	1.070e+01	5.277e+00	2.171e+01
2020.717	1.073e+01	5.292e+00	2.177e+01
2020.778	1.088e+01	5.362e+00	2.206e+01
2020.839	1.114e+01	5.535e+00	2.241e+01
2020.900	1.174e+01	6.270e+00	2.199e+01
2020.961	2.069e+01	1.302e+01	3.290e+01
2021.022	6.827e+01	5.398e+01	8.635e+01
2021.083	8.796e+01	6.500e+01	1.190e+02
2021.144	4.585e+01	2.241e+01	9.381e+01
