sequence_name,is_uk,is_cog_uk,central_sample_id,secondary_identifier,sample_date,epi_week,country,adm1,is_surveillance,is_travel_history,travel_history,uk_lineage,del_lineage,phylotype,lineage,SH-alrt,UFbootstrap,lineages_version,status,note,sequencing_centre
_England_NORW-319C4A3_2022_,Y,Y,NORW-319C4A3,,2022-01-28,109,UK,UK-ENG,Y,,,UK26681,del_trans_455542,UK26681_1.232,B.1.1,100,96,2020-05-19,passed_qc,,NORW
_England_NORW-319B3FC_2022_,Y,Y,NORW-319B3FC,,2022-01-28,109,UK,UK-ENG,Y,,,UK45351,del_trans_386648,UK45351_1,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-319A95D_2022_,Y,Y,NORW-319A95D,,2022-01-28,109,UK,UK-ENG,Y,,,UK30338,del_trans_212905,UK30338_1.1,B.1.1,100,96,2020-05-19,passed_qc,,NORW
_England_NORW-319C060_2022_,Y,Y,NORW-319C060,,2022-01-28,109,UK,UK-ENG,Y,,,UK22668,del_trans_267855,UK22668_1.186,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319AB4D_2022_,Y,Y,NORW-319AB4D,,2022-01-28,109,UK,UK-ENG,Y,,,UK26890,del_trans_491863,UK26890_1,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-319A4A7_2022_,Y,Y,NORW-319A4A7,,2022-01-28,109,UK,UK-ENG,Y,,,UK31615,del_trans_492037,UK31615_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319A1AA_2022_,Y,Y,NORW-319A1AA,,2022-01-28,109,UK,UK-ENG,Y,,,UK26088,del_trans_282930,UK26088_1,B.1.1,100,99,2020-05-19,passed_qc,,NORW
_England_NORW-319A270_2022_,Y,Y,NORW-319A270,,2022-01-28,109,UK,UK-ENG,Y,,,UK26397,del_trans_370594,UK26397_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319C16F_2022_,Y,Y,NORW-319C16F,,2022-01-28,109,UK,UK-ENG,Y,,,UK27824,del_trans_189720,UK27824_1.9.1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319D74B_2022_,Y,Y,NORW-319D74B,,2022-01-28,109,UK,UK-ENG,Y,,,UK11893,del_trans_584172,UK11893_1.227.1.1.1.1.1.8.7.15.1.181.1.2,B.1,100,99,2020-05-19,passed_qc,,NORW
_England_NORW-319AB21_2022_,Y,Y,NORW-319AB21,,2022-01-28,109,UK,UK-ENG,Y,,,UK26438,del_trans_380770,UK26438_1,B.1.1,100,96,2020-05-19,passed_qc,,NORW
_England_NORW-319BD57_2022_,Y,Y,NORW-319BD57,,2022-01-28,109,UK,UK-ENG,Y,,,UK34414,del_trans_458783,UK34414_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319A923_2022_,Y,Y,NORW-319A923,,2022-01-28,109,UK,UK-ENG,Y,,,UK25771,del_trans_156261,UK25771_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319AC3E_2022_,Y,Y,NORW-319AC3E,,2022-01-28,109,UK,UK-ENG,Y,,,UK22668,del_trans_267855,UK22668_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319A6FB_2022_,Y,Y,NORW-319A6FB,,2022-01-28,109,UK,UK-ENG,Y,,,UK22668,del_trans_267855,UK22668_1,B.1.1,100,95,2020-05-19,passed_qc,,NORW
_England_NORW-319BD9E_2022_,Y,Y,NORW-319BD9E,,2022-01-28,109,UK,UK-ENG,Y,,,UK11893,del_trans_584172,UK11893_1.605.4.1.1.3.5.1.2.3,B.1,100,99,2020-05-19,passed_qc,,NORW
_England_NORW-319D64C_2022_,Y,Y,NORW-319D64C,,2022-01-28,109,UK,UK-ENG,Y,,,UK29522,del_trans_160044,UK29522_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319AEBB_2022_,Y,Y,NORW-319AEBB,,2022-01-28,109,UK,UK-ENG,Y,,,UK22668,del_trans_267855,UK22668_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319BC9F_2022_,Y,Y,NORW-319BC9F,,2022-01-28,109,UK,UK-ENG,Y,,,UK31615,del_trans_492037,UK31615_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319A4C3_2022_,Y,Y,NORW-319A4C3,,2022-01-28,109,UK,UK-ENG,Y,,,UK27823,del_trans_189438,,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319BED5_2022_,Y,Y,NORW-319BED5,,2022-01-28,109,UK,UK-ENG,Y,,,UK25771,del_trans_156261,UK25771_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
_England_NORW-319C7E8_2022_,Y,Y,NORW-319C7E8,,2022-01-28,109,UK,UK-ENG,Y,,,UK45349,del_trans_386425,UK45349_1,B.1.1,100,100,2020-05-19,passed_qc,,NORW
