#node	clock_length	mutation_length	rate	fold_change
NC_045512.2	0.000e+00	3.220e-22	8.000e-03	1.00
NODE_0000000	7.265e-03	1.002e-04	8.000e-04	0.10
England_NORW-227FB9_2021	1.283e-03	5.348e-04	3.318e-03	0.41
NODE_0000002	9.795e-04	5.345e-04	4.328e-03	0.54
England_NORW-22B4C5_2021	4.045e-05	3.176e-22	3.021e-03	0.38
England_NORW-22B2F8_2021	4.045e-05	6.678e-05	9.577e-03	1.20
NODE_0000004	1.677e-04	2.672e-04	1.037e-02	1.30
England_NORW-228B0F_2021	7.646e-04	2.672e-04	2.882e-03	0.36
NODE_0000005	1.321e-05	3.338e-05	8.897e-03	1.11
NODE_0000007	3.205e-05	3.180e-22	6.991e-03	0.87
NODE_0000013	6.947e-04	6.677e-05	8.000e-04	0.10
England_NORW-22BCDC_2021	1.342e-04	2.004e-04	1.073e-02	1.34
NODE_0000009	0.000e+00	3.179e-22	8.000e-03	1.00
England_NORW-2291DF_2021	2.463e-05	3.339e-05	8.587e-03	1.07
England_NORW-22CD6F_2021	6.602e-04	3.180e-22	8.000e-04	0.10
NODE_0000010	0.000e+00	3.180e-22	8.000e-03	1.00
England_NORW-22BD15_2021	1.223e-03	3.175e-22	8.000e-04	0.10
NODE_0000006	6.098e-04	6.677e-05	9.111e-04	0.11
England_NORW-229597_2020	-1.000e-12	3.189e-22	8.000e-03	1.00
England_NORW-228352_2021	6.566e-05	3.338e-05	5.410e-03	0.68
NODE_0000008	2.798e-04	6.677e-05	2.140e-03	0.27
England_NORW-22BE4F_2021	2.461e-04	3.338e-05	1.346e-03	0.17
NODE_0000011	2.078e-06	2.754e-18	8.000e-03	1.00
England_NORW-2291A2_2021	1.344e-04	3.198e-22	8.000e-04	0.10
NODE_0000012	2.557e-07	2.754e-18	8.000e-03	1.00
England_NORW-2296C1_2021	1.780e-04	3.182e-22	8.000e-04	0.10
England_NORW-2292CD_2021	2.666e-06	2.754e-18	7.948e-03	0.99
NODE_0000015	8.000e-06	3.339e-05	8.622e-03	1.08
England_NORW-22810D_2020	-1.000e-12	3.188e-22	8.000e-03	1.00
NODE_0000014	1.640e-05	3.176e-22	8.000e-03	1.00
NODE_0000017	0.000e+00	3.176e-22	8.000e-03	1.00
England_NORW-228DFA_2021	7.489e-04	2.004e-04	2.173e-03	0.27
England_NORW-22BF5B_2021	1.385e-03	1.002e-04	8.000e-04	0.10
NODE_0000019	0.000e+00	3.176e-22	8.000e-03	1.00
NODE_0000020	0.000e+00	3.176e-22	8.000e-03	1.00
England_NORW-22A253_2021	1.472e-03	2.672e-04	1.466e-03	0.18
NODE_0000016	6.175e-04	1.002e-04	1.338e-03	0.17
England_NORW-2283E9_2020	-1.000e-12	3.163e-22	8.000e-03	1.00
England_NORW-22970A_2021	1.314e-04	1.003e-04	6.494e-03	0.81
England_NORW-2284F5_2021	2.848e-04	3.339e-05	1.127e-03	0.14
NODE_0000022	0.000e+00	3.176e-22	8.000e-03	1.00
England_NORW-2295C4_2021	7.270e-04	3.344e-05	8.000e-04	0.10
NODE_0000023	6.127e-04	3.339e-05	8.000e-04	0.10
England_NORW-2297A0_2021	2.896e-04	6.677e-05	2.097e-03	0.26
NODE_0000024	2.420e-06	3.180e-22	8.000e-03	1.00
England_NORW-22B35F_2021	6.159e-04	3.195e-22	8.000e-04	0.10
NODE_0000025	2.331e-06	3.180e-22	8.000e-03	1.00
England_NORW-22B51D_2021	6.136e-04	3.180e-22	8.000e-04	0.10
England_NORW-229AF2_2020	-1.000e-12	2.758e-18	7.948e-03	0.99
NODE_0000026	3.694e-04	3.675e-04	7.508e-03	0.94
England_NORW-22BD51_2021	1.045e-03	2.006e-04	1.578e-03	0.20
NODE_0000027	2.867e-04	4.680e-04	1.204e-02	1.50
NODE_0000018	4.805e-05	3.341e-05	7.554e-03	0.94
England_NORW-228871_2021	4.035e-04	3.342e-05	8.000e-04	0.10
NODE_0000029	5.525e-04	3.341e-05	8.000e-04	0.10
England_NORW-22C039_2021	3.332e-04	1.337e-04	3.287e-03	0.41
NODE_0000030	2.437e-05	3.341e-05	7.554e-03	0.94
England_NORW-229719_2021	2.012e-06	3.188e-22	7.948e-03	0.99
England_NORW-22911B_2021	4.585e-05	3.202e-22	2.725e-03	0.34
NODE_0000031	0.000e+00	3.189e-22	8.000e-03	1.00
NODE_0000032	1.370e-05	3.341e-05	8.844e-03	1.11
England_NORW-229A01_2020	-1.000e-12	2.761e-18	8.000e-03	1.00
NODE_0000042	2.544e-05	3.193e-22	8.000e-03	1.00
England_NORW-229658_2021	6.097e-04	1.337e-04	1.770e-03	0.22
NODE_0000051	9.331e-06	3.193e-22	8.000e-03	1.00
England_NORW-22BAD2_2021	4.907e-04	1.336e-04	2.153e-03	0.27
