central_sample_id,sequence_name,secondary_identifier,sample_date,epi_week,country,adm1,is_surveillance,is_travel_history,travel_history,lineage,lineage_support,uk_lineage,del_lineage,phylotype
LIVE-E0239E,England/LIVE-E0239E/2021,,2021-02-14,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.70.46.1.48.1.1
NORW-22D223,England/NORW-22D223/2021,,2021-02-10,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.1.10.1.2
NORW-22D1CC,England/NORW-22D1CC/2021,,2021-02-13,,UK,UK-ENG,N,,,B.1.1.7,,UK1364,del_trans_22142,UK1364_1.12.2
NORW-22D162,England/NORW-22D162/2021,,2021-02-13,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.1.1
NORW-22B37D,England/NORW-22B37D/2021,,2021-01-09,,UK,UK-ENG,Y,,,B.1.1.7,,UK736,del_trans_26121,UK736_1.4
NORW-22D2C9,England/NORW-22D2C9/2021,,2021-02-10,,UK,UK-ENG,N,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.18.1.1.4
NORW-22D1BD,England/NORW-22D1BD/2021,,2021-02-14,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.59
NORW-22D36C,England/NORW-22D36C/2021,,2021-02-10,,UK,UK-ENG,N,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.17
NORW-22463F,England/NORW-22463F/2021,,2021-02-15,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.17.10.3
NORW-22465D,England/NORW-22465D/2021,,2021-02-15,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.17.20.1
NORW-22D205,England/NORW-22D205/2021,,2021-02-12,,UK,UK-ENG,N,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.1.6.1.4
NORW-22B4C5,England/NORW-22B4C5/2021,,2021-01-08,,UK,UK-ENG,Y,,,B.1.1.170,,UK1769,del_trans_20532,UK1769_1.2.1
NORW-22D27E,England/NORW-22D27E/2021,,2021-02-09,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.32
NORW-22D180,England/NORW-22D180/2021,,2021-02-14,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.1.6.1
NORW-22466C,England/NORW-22466C/2021,,2021-02-15,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.17.14.3.1.1
NORW-22464E,England/NORW-22464E/2021,,2021-02-21,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.1.14.53.15.3.1.2
NORW-22B085,England/NORW-22B085/2021,,2021-01-09,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.76
NORW-22D302,England/NORW-22D302/2021,,2021-02-12,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.17.14.3.3.1
NORW-22D1AE,England/NORW-22D1AE/2021,,2021-02-12,,UK,UK-ENG,Y,,,B.1.1.7,,UK1364,del_trans_22142,UK1364_1.12
NORW-22D34E,England/NORW-22D34E/2021,,2021-02-13,,UK,UK-ENG,N,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.265.18.1.1.3
NORW-22B00D,England/NORW-22B00D/2021,,2021-01-08,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.9.3.1.24
NORW-22B304,England/NORW-22B304/2021,,2021-01-08,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.13.1.58.66
NORW-22D214,England/NORW-22D214/2021,,2021-02-14,,UK,UK-ENG,Y,,,B.1.1.7,,UK1476,del_trans_26865,UK1476_1.33.10.59.1.1.6.1.8
