sequence_name	is_uk	is_cog_uk	central_sample_id	secondary_identifier	sample_date	epi_week	country	adm1	is_surveillance	is_travel_history	travel_history	lineage	uk_lineage	del_lineage	phylotype
England_MILK-364702C_2022	Y	Y	MILK-364702C		2022-02-09	111	UK	UK-ENG	N			BA.1.1	UK25781	del_trans_77264	UK25781_1
England_MILK-3646D62_2022	Y	Y	MILK-3646D62		2022-02-09	111	UK	UK-ENG	N			BA.1.1	UK41619	del_trans_126714	UK41619_1
England_MILK-364701D_2022	Y	Y	MILK-364701D		2022-02-09	111	UK	UK-ENG	N			BA.1.1	UK25781	del_trans_77264	UK25781_1
England_MILK-3646C56_2022	Y	Y	MILK-3646C56		2022-02-09	111	UK	UK-ENG	N			BA.1.1	UK28315	del_trans_151322	UK28315_1
England_MILK-3650A8C_2022	Y	Y	MILK-3650A8C		2022-02-10	111	UK	UK-ENG	N			BA.1	UK26397	del_trans_263599	UK26397_1
England_MILK-365072B_2022	Y	Y	MILK-365072B		2022-02-10	111	UK	UK-ENG	N			BA.1.1	UK43045	del_trans_152471	UK43045_1.3.1.1
England_MILK-365062E_2022	Y	Y	MILK-365062E		2022-02-10	111	UK	UK-ENG	N			BA.1.1	UK28315	del_trans_151322	UK28315_1.1.1.1
England_MILK-3650A13_2022	Y	Y	MILK-3650A13		2022-02-10	111	UK	UK-ENG	N			BA.1.1	UK32888	del_trans_90823	UK32888_1.19.1.1.1
England_MILK-36507A3_2022	Y	Y	MILK-36507A3		2022-02-10	111	UK	UK-ENG	N			BA.1	UK26681	del_trans_344847	UK26681_1.206.1
England_MILK-3650E71_2022	Y	Y	MILK-3650E71		2022-02-09	111	UK	UK-ENG	N			BA.2	UK37780	del_trans_24160	UK37780_1.15
England_MILK-3650A7D_2022	Y	Y	MILK-3650A7D		2022-02-10	111	UK	UK-ENG	N			BA.1.1	UK25667	del_trans_50661	UK25667_1.73.4
England_MILK-365066A_2022	Y	Y	MILK-365066A		2022-02-10	111	UK	UK-ENG	N			BA.1.1	UK32888	del_trans_90823	UK32888_1.19.1.1.1
England_MILK-3650FC9_2022	Y	Y	MILK-3650FC9		2022-02-10	111	UK	UK-ENG	N			BA.2	UK28549	del_trans_30244	UK28549_1
England_MILK-365054F_2022	Y	Y	MILK-365054F		2022-02-10	111	UK	UK-ENG	N			BA.1.1	UK35880	del_trans_125244	UK35880_1
England_MILK-3650E44_2022	Y	Y	MILK-3650E44		2022-02-10	111	UK	UK-ENG	N			BA.1.1	UK25785	del_trans_83225	UK25785_1.96.1
England_LSPA-364C485_2022	Y	Y	LSPA-364C485		2022-02-10	111	UK	UK-ENG	N			BA.1	UK26308	del_trans_254096	UK26308_1.22.7
England_MILK-3650925_2022	Y	Y	MILK-3650925		2022-02-10	111	UK	UK-ENG	N			BA.1.1	UK41619	del_trans_126714	UK41619_1
England_MILK-365061F_2022	Y	Y	MILK-365061F		2022-02-10	111	UK	UK-ENG	N			BA.1.1	UK25670	del_trans_51055	UK25670_1.91.1
England_MILK-36506E2_2022	Y	Y	MILK-36506E2		2022-02-10	111	UK	UK-ENG	N			BA.1	UK26397	del_trans_263599	UK26397_1.1437
England_MILK-365058B_2022	Y	Y	MILK-365058B		2022-02-10	111	UK	UK-ENG	N			BA.1.1	UK25670	del_trans_51055	UK25670_1.91.1
England_LSPA-364C959_2022	Y	Y	LSPA-364C959		2022-02-08	111	UK	UK-ENG	N			BA.1	UK33608	del_trans_202683	UK33608_1.3
England_MILK-3650943_2022	Y	Y	MILK-3650943		2022-02-10	111	UK	UK-ENG	N			BA.2	UK25641	del_trans_23788	UK25641_1.11
England_MILK-3650DDE_2022	Y	Y	MILK-3650DDE		2022-02-10	111	UK	UK-ENG	N			BA.1	UK45347	del_trans_278389	UK45347_1.1.6.1
England_MILK-365106B_2022	Y	Y	MILK-365106B		2022-02-09	111	UK	UK-ENG	N			BA.1.1	UK27917	del_trans_105187	UK27917_1
England_LSPA-364C704_2022	Y	Y	LSPA-364C704		2022-02-10	111	UK	UK-ENG	N			BA.1.1	UK25910	del_trans_104884	UK25910_1.2.1
England_MILK-36509CB_2022	Y	Y	MILK-36509CB		2022-02-10	111	UK	UK-ENG	N			BA.1	UK26308	del_trans_254096	UK26308_1.520
England_MILK-3650907_2022	Y	Y	MILK-3650907		2022-02-10	111	UK	UK-ENG	N			BA.2	UK25641	del_trans_23788	UK25641_1.729.1.2.1
England_LSPA-3653F20_2022	Y	Y	LSPA-3653F20		2022-02-09	111	UK	UK-ENG	N			BA.2	UK25641	del_trans_23788	UK25641_1.31.1.2
